Author,Paper Title,Research Goal,Research Goal Description,Research Approach,Supplementary Material,Supplementary Material Description,Supplementary Material Link
Habibullah et al. (2023),Requirements Engineering for Automotive Perception Systems: an Interview Study ,RE Practice and Challenges,Identify requirements engineering topics and challenges in the domain of driving automation systems.,Evaluation research,Interview & Survey Data,The interview guide,https://doi.org/10.7910/DVN/HCMVL1
Hu et al. (2020),Towards Requirements Specification for Machine-learned Perception Based on Human Performance,Proposal or Improvement of RE Approach,Propose an approach for specifying and testing requirements for robustness based on human perception.,Proposal of solution,Datasets & Code,Berkeley DeepDrive A set of Images,http://bdd-data.berkeley.edu
Villamizar et al. (2022),Towards Perspective-Based Specification of Machine Learning-Enabled Systems,Proposal or Improvement of RE Approach,Define a perspective-based approach for specifying ML-enabled systems.,Proposal of solution,Guides & Ontologies,Requirements Specification Template,https://zenodo.org/record/6643530
Hu et al. (2022),"If a Human Can See It, So Should Your System: Reliability Requirements for Machine Vision Components",Requirements Analysis and Validation,Address the need for defining machine-verifiable reliability requirements for MVCs against transformations that simulate the full range of realistic and safety-critical changes in the environment.,Validation research,Tools,Implementation of the tool-supported method,https://carolineeeeeee.github.io/automating_requirements
Vogelsang et al. (2019),Requirements Engineering for Machine Learning: Perspectives from Data Scientists,RE Practice and Challenges,Define characteristics and challenges unique to Requirements Engineering (RE) for ML-based systems,Evaluation research,Interview & Survey Data,Interview guide,https://doi.org/10.6084/m9.figshare.8067593.v1
Sadeghi et al. (2021),Cases for Explainable Software Systems: Characteristics and Examples,Proposal or Improvement of RE Approach,Present a taxonomy structuring needs for an explanation according to different reasons,Proposal of solution,Guides & Ontologies,Taxonomy of explainability cases,https://github.com/mersedehSa/ExplanationCases
Habibullah et al. (2021),Non-functional Requirements for Machine Learning: Understanding Current Use and Challenges in Industry,RE Practice and Challenges,Understand the state-of-the-art and challenges of dealing with NFRs for ML in industry,Evaluation research,Interview & Survey Data,Interview transcripts and codes,https://tinyurl.com/6d96vesb
Heyn et al. (2023),An Investigation of Challenges Encountered When Specifying Training Data and Runtime Monitors for Safety Critical ML Applications.,RE Practice and Challenges,Highlight current challenges experienced by prac- titioners in specifying training data and runtime monitoring for ML in safety critical software,Evaluation research,Interview & Survey Data,Interview guide,https://doi.org/10.7910/DVN/WJ8TKY
J. et al. (2023),Human Value Requirements in AI Systems: Empirical Analysis of Amazon Alexa,Requirements Analysis and Validation,Explore human value requirements from the end-users’ feedback for an AI system,Evaluation research,Datasets & Code,Dataset of user reviews for Alexa App,https://doi.org/10.5281/zenodo.7347647
Dąbrowski et al. (2022),Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,Proposal or Improvement of RE Approach,To elaborate a description of SE use cases for mining app reviews and to define a reference architecture that realizes these use cases.,Proposal of solution,Guides & Ontologies,Conceptual models/diagrams,https://doi.org/10.5281/zenodo.6587502
M. et al. (2022),"A multi-level semantic web for hard-to-specify domain concept, Pedestrian, in ML-based software",Proposal or Improvement of RE Approach,Proposed a semi-automated approach to formally specify the domain concepts in the form of a semantic web.,Validation research,Datasets & Code,"Generated semantic web, Visualisation tool for concepts and their relations, YOLO tool, Microsoft Common Objects in Context, Open Image Dataset, Caltech, CityPersons, EuroCity Persons, CrowdHuman, WiderPerson","https://github.com/REJournal2021, http://vowl.visualdataweb.org/webvowl.html, https://opencv-tutorial.readthedocs.io/en/latest/yolo/yolo.html, https://cocodataset.org, https://storage.googleapis.com/openimages/web/index.html, https://data.caltech.edu/records/nyy15-4j048, https://paperswithcode.com/dataset/citypersons, https://eurocity-dataset.tudelft.nl, https://www.crowdhuman.org, http://www.cbsr.ia.ac.cn/users/sfzhang/WiderPerson/"
